Values,Telencephalon,Tectum,Thalamus,Hypothalamus,Cerebellum,Hindbrain,Habenula,Posterior-Tuberculum
Volume (voxels),321640,776026,84614,537171,225755,615310,47546,55145
Frame,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8
